problem.name;solver.name;randomGenerator.seed;problem.target;solver.mapper.grammar.name;state→n.iterations;individual→solution→grid.compactness;individual→solution→grid.elongation;individual→bin[solution→grid.compactness];individual→bin[solution→grid.elongation];"individual→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.toString(); yMirror = true)]"
shape-circle;me;1;circle;monodirectional;200;8.20513e-01;3.00000e-01;6;0;"{9;7}{;;;a;a;;;;;;a;a;a;a;;;;;;a;a;a;a;;;;;a;a;a;a;;;;a;a;a;a;;a;;;a;a;;a;a;a;a;a;a;a;;;a;a;a;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.87879e-01;2.50000e-01;5;0;"{7;7}{;a;a;a;a;;;;a;a;a;;a;;;a;a;;;a;a;;a;;;;a;a;a;a;;a;a;a;;a;a;a;a;a;;;a;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.00000e-01;2.22222e-01;8;0;"{7;7}{;;a;;a;a;a;;;a;a;a;a;a;;;a;a;a;;;a;;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;;a;a;a;a;a;a;}"
shape-circle;me;1;circle;monodirectional;200;9.72222e-01;4.00000e-01;9;0;"{9;6}{;;a;;;a;a;;;;a;a;a;a;a;;a;;;a;a;a;a;a;a;a;a;;a;a;a;a;a;a;a;;a;a;a;a;a;a;a;;;a;a;a;a;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.16667e-01;1.42857e-01;8;0;"{7;6}{;a;a;a;a;;;;a;a;a;;;;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;}"
shape-dog;me;1;dog;monodirectional;200;9.54545e-01;4.44444e-01;9;0;"{8;6}{;;;;;;a;;a;;;;;a;a;;a;a;;;a;a;a;a;a;a;a;;a;a;;;a;a;a;a;a;;;;a;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.50000e-01;1.66667e-01;5;0;"{5;6}{;;;;a;a;;;;a;a;;;a;a;a;;;a;a;a;;a;a;a;a;a;a;a;a}"
shape-dog;me;1;dog;monodirectional;200;9.00000e-01;3.33333e-01;8;0;"{7;6}{;;;;;;a;;;;a;a;a;a;;;;a;a;a;;;a;a;a;a;a;a;a;a;a;a;a;a;;a;a;a;a;a;a;a}"
shape-dog;me;1;dog;monodirectional;200;9.41176e-01;4.44444e-01;8;0;"{7;7}{;;;;;;a;;;;;;;a;;;;;;;a;;;;;;;a;;a;a;;;;a;;a;a;a;a;a;a;a;a;a;;;;}"
shape-dog;me;1;dog;monodirectional;200;9.58333e-01;3.75000e-01;9;0;"{7;5}{;;;;;a;;;a;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;;a;a;;a;a;a;a;a;;}"
shape-circle;me;1;circle;monodirectional;200;8.85714e-01;2.50000e-01;7;0;"{7;7}{;;;a;;a;;;;;a;;a;a;;a;a;a;;a;a;;a;a;a;a;a;;;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;;;}"
shape-dog;me;1;dog;monodirectional;200;8.84615e-01;4.44444e-01;7;0;"{8;7}{;;;;;;a;;;;;;;a;a;;;;a;;;a;a;a;a;a;a;a;a;a;;;a;a;a;a;;;;;a;a;a;a;a;;;;a;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.43137e-01;1.00000e-01;6;0;"{10;9}{;;;;a;a;;;;;;;;a;a;a;;;;;;;;a;a;a;a;;;;;;;a;a;a;a;a;;;;;a;a;a;;;;;;;;a;a;a;;;;;;a;a;a;a;a;a;;a;;;a;;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;;}"
shape-dog;me;1;dog;monodirectional;200;9.56522e-01;5.00000e-01;9;0;"{7;5}{;a;;;a;a;;;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;;a;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;9.20000e-01;2.85714e-01;8;0;"{7;5}{a;;;a;a;a;;a;a;;a;a;a;;a;a;;a;a;a;;a;a;a;a;a;a;a;a;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.33333e-01;4.00000e-01;6;0;"{8;8}{;;;;;;a;;;;;;;;a;;a;;;;;;a;a;a;;;;;a;a;;a;;;a;a;a;;;a;;a;a;a;;;;a;a;a;;;;;;a;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.69231e-01;5.00000e-01;5;0;"{6;3}{a;;;;a;;a;;;;a;a;a;a;a;a;a;}"
shape-dog;me;1;dog;monodirectional;200;7.40000e-01;2.00000e-01;4;0;"{9;9}{;;a;a;a;;;;;;;a;;;;a;;;;;a;;;;a;;;a;;a;;;;a;a;;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;;a;a;a;a;a;a;a;a;;a;;;;;;;;;a;;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;9.20000e-01;6.00000e-01;8;1;"{9;6}{;;;;;;;a;;;;;;;a;a;a;;;;;;;a;a;a;a;;;a;a;a;a;a;;;;a;a;a;a;a;a;a;;a;a;a;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.65517e-01;0.00000e+00;9;0;"{6;6}{a;a;;a;;;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;a;a;a;;;}"
shape-circle;me;1;circle;monodirectional;200;9.09091e-01;5.00000e-01;8;0;"{9;7}{;;;;;;a;;;;;;;a;a;a;a;;;;a;;a;a;a;a;a;;;a;a;a;a;;;;;;a;a;a;a;;;;a;a;a;a;a;a;;;;a;a;a;a;a;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.75000e-01;5.45455e-01;7;0;"{11;5}{;;a;;;;;a;;;;;;a;;;;;a;;a;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;;;a;a;a;a;a;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.07692e-01;6.00000e-01;6;1;"{7;8}{;;;;;;a;;;;;;a;a;;;;a;a;a;a;a;;;a;a;a;a;a;;a;a;;;;a;a;a;a;;;;a;;;;;;;a;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.66667e-01;4.00000e-01;5;0;"{7;8}{;;;;;a;;;;;;;a;;;;;;;a;a;a;;;a;a;a;a;a;;;a;;;;a;;;a;a;a;;a;a;a;a;a;a;;a;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.46154e-01;5.00000e-01;6;0;"{6;3}{a;;;;a;;a;;a;;a;;a;a;a;a;a;a}"
shape-dog;me;1;dog;monodirectional;200;9.52381e-01;1.66667e-01;9;0;"{6;5}{a;;;a;;;a;a;;a;a;a;a;a;a;a;a;;a;a;a;a;;;a;a;a;a;;}"
shape-dog;me;1;dog;monodirectional;200;9.52381e-01;2.85714e-01;9;0;"{6;5}{;;;;a;;a;a;a;a;a;a;a;a;a;a;a;;a;;a;a;a;;a;a;a;a;;}"
shape-dog;me;1;dog;monodirectional;200;7.22222e-01;4.28571e-01;4;0;"{5;5}{;;;a;a;;;;a;a;a;;;a;a;a;;;a;;a;a;a;a;}"
shape-circle;me;1;circle;monodirectional;200;8.62069e-01;4.66667e-01;7;0;"{13;10}{;;;;;;;;;;a;;;;;;;;;;;;;a;a;a;;;;;;;;;;a;a;a;;;;;;;a;;;a;a;;;;;;;;;a;a;a;a;a;;;;a;;a;a;;a;;a;;;;;;a;;a;a;a;a;a;a;;;;;;a;a;a;a;a;a;a;a;a;;;;;a;a;a;a;a;a;a;a;a;;;;;a;a;a;a;a;;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.67742e-01;1.25000e-01;9;0;"{7;7}{a;;;;;;;a;a;a;;;;;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;;a;a;a;a;;;;a;a;a;a;;;}"
shape-dog;me;1;dog;monodirectional;200;8.92857e-01;6.36364e-01;7;2;"{8;9}{;;;;;;a;;;;;;a;a;a;a;;;;;a;a;a;;;a;a;;a;a;a;;;a;a;a;a;a;a;;a;a;a;;;;;;a;;;;;;;;a;;;;;;;;a;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.68750e-01;2.50000e-01;9;0;"{7;8}{;;;a;;;;;a;;a;;;;;a;a;a;a;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;;a;a;a;a;;;;a;a;;;;;}"
shape-circle;me;1;circle;monodirectional;200;7.50000e-01;1.25000e-01;5;0;"{7;7}{;a;a;;;;;a;a;a;;;a;;a;a;;;;a;;a;a;a;;;a;a;a;a;a;a;a;a;;a;a;a;;;;;a;a;a;a;;;}"
shape-dog;me;1;dog;monodirectional;200;9.60000e-01;6.00000e-01;9;1;"{8;7}{;;;;;;a;;;;;;;a;a;a;;;;;a;a;a;;;;a;a;a;a;;;;a;a;a;a;a;a;;a;a;a;a;a;a;;;a;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.69565e-01;0.00000e+00;7;0;"{6;6}{;a;;;;;;a;a;;;;a;a;a;;;;a;a;a;;a;;a;a;;a;a;a;a;a;a;a;a;}"
shape-dog;me;1;dog;monodirectional;200;1.00000e+00;0.00000e+00;9;0;"{6;6}{;a;;;;;;a;a;;;;a;a;a;a;a;;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;;}"
shape-dog;me;1;dog;monodirectional;200;6.84211e-01;1.66667e-01;3;0;"{5;5}{;;;a;;a;;;a;;a;;;a;;a;;;a;a;a;a;a;a;a}"
shape-dog;me;1;dog;monodirectional;200;7.24138e-01;3.33333e-01;4;0;"{7;8}{;;;;a;;;;;;;a;a;;a;;;;a;;;a;;;;a;a;a;a;;a;a;a;a;a;a;;a;;;;;a;a;a;;;;;a;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;6.96970e-01;3.33333e-01;3;0;"{6;9}{a;;;;;;a;;;;;;a;;;a;a;;a;;;a;a;a;a;;;a;;;a;a;;a;;;a;;a;a;;;a;a;a;a;;;a;a;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.27273e-01;5.55556e-01;4;1;"{6;7}{;;;;;a;;;;a;;a;;;;a;a;a;;;;a;;;a;;;a;;;a;;a;a;;;a;a;a;a;;}"
shape-circle;me;1;circle;monodirectional;200;8.40000e-01;4.16667e-01;6;0;"{12;9}{;;;;;;;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;a;;;;;;;;;a;a;a;;;a;;;;;;;a;a;;a;a;a;;a;a;;;a;a;a;a;a;a;a;a;a;a;;;a;a;a;a;;;;;a;a;;;a;a;a;a;;;;;a;a;a;a;a;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.96552e-01;0.00000e+00;7;0;"{6;6}{a;a;a;;a;;a;a;a;a;a;;a;a;a;a;a;a;a;;a;a;a;;a;;a;a;a;;a;a;a;;;}"
shape-circle;me;1;circle;monodirectional;200;7.90698e-01;4.16667e-01;5;0;"{9;9}{;;;;;;;a;;;;;;;;a;a;;;;;a;a;a;a;a;a;;;a;a;a;a;a;;;;a;a;a;;;;;;a;a;a;;;;a;;;a;a;a;;a;;a;;;a;a;a;a;a;a;a;;;a;;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;7.87879e-01;2.50000e-01;5;0;"{8;7}{;;;a;a;;;;;;a;a;a;;;;a;;a;;;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;;;;a;;;;;;;;a;a;a;;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.08824e-01;5.00000e-01;6;0;"{15;11}{;;;;;;;;;;;a;;;;;;;;;;;;;;;a;;;;;;;;;;;;;;;a;;;;;;;;;;;a;;;a;a;a;;;;a;;;;;a;a;;;a;a;;;;;a;;;;a;a;a;;;a;a;a;a;;;a;a;;;a;a;;a;;a;a;a;a;a;;a;a;a;a;a;a;a;a;;a;;;;;;a;a;a;a;a;a;a;a;a;a;;;;;a;a;a;;;;;;;;;;;;;a;a;a;;;;;;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;1.00000e+00;7.14286e-01;9;4;"{4;6}{;;;a;;;a;a;;a;a;;a;a;;;a;;;;a;;;}"
shape-circle;me;1;circle;monodirectional;200;7.38095e-01;2.00000e-01;4;0;"{8;10}{;a;;;;;;;;a;;;;;;;;a;;;;;;;;a;;;a;;;;;a;a;;a;;;;a;a;;;a;;;;a;a;;a;a;;;;a;a;;a;a;a;a;a;a;a;;a;a;;;;a;a;a;a;a;;;}"
shape-dog;me;1;dog;monodirectional;200;1.00000e+00;8.00000e-01;9;6;"{1;5}{a;a;a;a;a}"
shape-dog;me;1;dog;monodirectional;200;7.82609e-01;6.00000e-01;5;1;"{5;9}{;;;;a;;;;;a;;;;a;a;;;;a;a;a;;;a;;a;;a;a;;a;;a;a;;a;a;a;;;a;;;;}"
shape-circle;me;1;circle;monodirectional;200;7.33333e-01;3.00000e-01;4;0;"{10;7}{;;;a;;;;;;;;a;a;a;;;;;a;;;a;a;;;;;;a;;;a;;;;;a;a;a;a;a;a;;;;a;a;a;;;a;a;a;;a;a;a;a;;;a;a;a;a;a;a;a;a;;}"
shape-dog;me;1;dog;monodirectional;200;7.00000e-01;5.00000e-01;3;0;"{4;8}{a;;;;a;;;;a;a;a;;a;;;;a;;;;a;;a;a;a;a;a;;a;;;}"
shape-dog;me;1;dog;monodirectional;200;7.77778e-01;0.00000e+00;5;0;"{3;3}{a;;a;a;;a;a;a;a}"
shape-circle;me;1;circle;monodirectional;200;9.54545e-01;5.38462e-01;9;0;"{6;13}{;;a;;;;;;a;;;;;;a;;;;;;a;;;;;;a;a;a;;;;a;a;a;;;;a;a;a;a;;;a;a;a;a;;a;a;a;a;a;;a;a;a;a;a;;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;;}"
shape-dog;me;1;dog;monodirectional;200;8.23529e-01;0.00000e+00;6;0;"{5;5}{a;;a;;;a;a;a;a;;a;a;a;a;a;a;;;;;a;a;;;}"
shape-dog;me;1;dog;monodirectional;200;9.09091e-01;7.14286e-01;8;4;"{2;7}{a;;a;;a;a;a;;a;a;a;a;a;}"
shape-circle;me;1;circle;monodirectional;200;9.44444e-01;6.15385e-01;8;2;"{5;13}{a;;;;;a;;;;;a;;;;;a;;;;;a;;;;;a;a;;;;a;a;;a;;a;a;a;a;;a;a;a;;;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;;}"
shape-dog;me;1;dog;monodirectional;200;8.57143e-01;7.14286e-01;7;4;"{2;7}{a;a;a;;a;a;a;;a;a;a;a;a;a}"
shape-circle;me;1;circle;monodirectional;200;7.85714e-01;3.33333e-01;5;0;"{8;7}{;;;a;;;;;;;;a;;a;;;;;;a;a;a;a;a;a;;a;a;;;;;a;a;a;a;;;;;a;a;a;a;a;;;;a;a;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.61538e-01;6.00000e-01;9;1;"{4;10}{;a;;;;a;;;;a;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;a;a;;;a;;;}"
shape-dog;me;1;dog;monodirectional;200;8.33333e-01;7.14286e-01;6;4;"{2;7}{a;;a;;a;a;a;;a;a;a;;a;a}"
shape-dog;me;1;dog;monodirectional;200;1.00000e+00;9.00000e-01;9;8;"{1;10}{a;a;a;a;a;a;a;a;a;a}"
shape-circle;me;1;circle;monodirectional;200;7.94872e-01;5.00000e-01;5;0;"{7;10}{;;;;;;a;;;;;;;a;;;a;;;;a;;;a;;;a;a;a;;a;a;;a;;a;a;a;a;a;a;;a;a;a;a;a;a;;a;a;a;;;;;a;a;;;;;;a;a;a;;;;}"
shape-dog;me;1;dog;monodirectional;200;9.33333e-01;8.00000e-01;8;6;"{2;10}{a;;a;;a;a;a;;a;a;a;a;a;a;a;;a;;a;}"
shape-dog;me;1;dog;monodirectional;200;7.61905e-01;7.00000e-01;5;3;"{3;10}{;a;;a;a;;a;a;a;a;;;a;;;a;;;a;a;a;a;;;a;;;a;a;}"
shape-circle;me;1;circle;monodirectional;200;7.22222e-01;2.72727e-01;4;0;"{8;9}{;a;a;;;;a;;a;a;a;;;;a;a;a;a;;;;;a;;a;a;a;;;;a;;a;a;a;;;a;a;;a;a;;;a;a;a;;a;a;a;;a;a;;;a;a;a;a;a;a;;;a;a;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;6.94444e-01;4.54545e-01;3;0;"{6;10}{;;;;a;;;;a;;a;;;;a;a;a;a;;;a;;;;a;;a;;;;a;;a;;;;a;;a;a;a;;a;;a;a;;;a;a;a;a;a;;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.66667e-01;8.00000e-01;7;6;"{2;10}{a;;a;a;a;;a;a;a;;a;a;a;;a;;a;;a;}"
shape-circle;me;1;circle;monodirectional;200;8.88889e-01;6.00000e-01;7;1;"{9;7}{;;;;;;;a;;;;;;;a;;a;a;;;;;a;a;a;a;a;;;;a;a;a;;;;;;;a;a;a;;;;a;a;a;a;a;a;;;;a;a;a;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.29730e-01;6.15385e-01;4;2;"{8;12}{;;;;;a;;;;;;;a;a;;;;;;a;a;;;;;;;a;;;a;a;;;;a;a;a;a;a;;;;a;;;;;;;;a;;;;;;;;a;;;;;;;;a;a;a;;;;;;a;;;;;a;a;a;a;;;;;a;a;a;;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.07692e-01;6.00000e-01;6;1;"{9;6}{;;;;;;;a;;;;;;a;;a;a;;;;;;a;;a;a;a;;a;;;a;a;a;a;;a;a;a;a;a;a;;;;a;a;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;7.42857e-01;5.83333e-01;4;1;"{9;8}{;;;;;;;a;a;;;;;;;;a;a;;;;;;;;a;;;;;a;a;;;a;a;;;;a;a;a;a;a;a;a;;;a;a;;;;;a;;a;a;a;;;;;a;a;a;a;;;;;}"
shape-circle;me;1;circle;monodirectional;200;1.00000e+00;7.50000e-01;9;5;"{2;8}{a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a}"
shape-circle;me;1;circle;monodirectional;200;7.40741e-01;4.00000e-01;4;0;"{6;9}{;;;a;;;a;a;;a;;;a;a;;a;;;a;a;a;a;a;a;a;;;;;;a;;;;;;a;a;;;;;a;;;;;;a;a;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.20000e-01;7.00000e-01;8;3;"{3;10}{a;;;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;a;;;a;a;}"
shape-circle;me;1;circle;monodirectional;200;7.91667e-01;6.00000e-01;5;1;"{4;9}{;;;a;a;;;a;a;;a;a;a;a;a;a;a;a;;;a;a;;;a;a;;;a;;;;a;a;;}"
shape-circle;me;1;circle;monodirectional;200;7.50000e-01;0.00000e+00;5;0;"{5;5}{a;;;;;a;;;a;a;a;;;a;a;a;;a;a;a;a;a;a;a;}"
shape-circle;me;1;circle;monodirectional;200;6.75676e-01;5.00000e-01;3;0;"{6;10}{a;;;;;;a;;;;;;a;a;;;;;a;;;;;;a;a;;;;;a;;;;a;;a;;;;a;;a;;;a;a;a;a;;a;a;a;;a;a;a;a;a;a}"
shape-circle;me;1;circle;monodirectional;200;8.63636e-01;7.05882e-01;7;4;"{16;7}{;;;;;;;;;;;;a;;;;;;;;;;;;;;;a;a;a;a;;;a;a;;;;;a;;;;a;a;a;a;a;;a;a;a;;;;a;;;a;a;;;;;;a;a;a;;a;;a;a;a;a;;;;;;a;a;a;a;a;a;a;a;;;;;;;;;a;a;a;;;;;;;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.40000e-01;7.00000e-01;6;3;"{3;10}{a;;;a;;a;a;a;a;a;a;a;a;a;;a;;;a;a;a;a;;;a;a;a;a;a;}"
shape-circle;me;1;circle;monodirectional;200;9.41176e-01;8.00000e-01;8;6;"{2;10}{;a;;a;;a;a;a;a;a;a;a;a;a;a;a;a;;a;a}"
shape-circle;me;1;circle;monodirectional;200;8.88889e-01;8.00000e-01;7;6;"{2;10}{;a;;a;a;a;a;;a;a;a;a;a;a;a;a;a;;a;a}"
shape-circle;me;1;circle;monodirectional;200;9.52381e-01;8.18182e-01;9;6;"{2;11}{;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;a;a}"
shape-circle;me;1;circle;monodirectional;200;7.27273e-01;6.36364e-01;4;2;"{4;11}{a;;;;a;;;a;a;;a;a;a;a;a;;a;;;;a;;;;a;a;a;a;a;a;a;a;a;;;;a;a;;;a;a;;}"
shape-dog;me;1;dog;worm;200;1.00000e+00;5.71429e-01;9;1;"{7;3}{a;a;e;i;i;a;a;a;a;f;h;a;a;a;a;a;a;a;d;h;a}"
shape-dog;me;1;dog;worm;200;1.00000e+00;7.14286e-01;9;4;"{7;2}{a;a;i;g;a;a;e;h;d;g;i;b;h;i}"
shape-dog;me;1;dog;worm;200;1.00000e+00;6.66667e-01;9;3;"{6;2}{a;a;i;i;a;a;h;b;i;i;a;h}"
shape-dog;me;1;dog;worm;200;1.00000e+00;8.00000e-01;9;6;"{10;2}{a;a;i;h;a;i;f;d;a;i;i;i;h;i;a;i;i;h;h;i}"
shape-dog;me;1;dog;worm;200;1.00000e+00;4.00000e-01;9;0;"{5;3}{a;b;a;i;a;a;d;i;i;a;b;a;d;a;h}"
shape-dog;me;1;dog;worm;200;1.00000e+00;0.00000e+00;9;0;"{1;1}{c}"
shape-dog;me;1;dog;worm;200;1.00000e+00;3.33333e-01;9;0;"{2;2}{i;i;b;c}"
shape-dog;me;1;dog;worm;200;1.00000e+00;2.50000e-01;9;0;"{4;3}{a;c;a;f;a;f;i;a;a;d;b;a}"
shape-dog;me;1;dog;worm;200;1.00000e+00;9.00000e-01;9;8;"{10;1}{i;d;a;a;i;h;g;i;a;i}"
