circle.ga.monodirectional	circle.ga.worm	circle.ga.dog.shape	circle.me.monodirectional	circle.me.worm	circle.me.dog.shape	circle.pso.monodirectional	circle.pso.worm	circle.pso.dog.shape	circle.es.monodirectional	circle.es.worm	circle.es.dog.shape	dog.ga.monodirectional	dog.ga.worm	dog.ga.dog.shape	dog.me.monodirectional	dog.me.worm	dog.me.dog.shape	dog.pso.monodirectional	dog.pso.worm	dog.pso.dog.shape	dog.es.monodirectional	dog.es.worm	dog.es.dog.shape
4.167e-01	4.722e-01	5.278e-01	5.417e-01	5.139e-01	5.347e-01	4.028e-01	6.181e-01	5.625e-01	4.583e-01	4.861e-01	5.764e-01	6.047e-01	8.488e-01	5.556e-02	6.163e-01	8.605e-01	1.111e-01	5.581e-01	8.837e-01	1.047e-01	5.930e-01	8.837e-01	1.395e-01
4.028e-01	4.722e-01	5.208e-01	5.417e-01	5.625e-01	5.417e-01	3.889e-01	6.806e-01	5.278e-01	5.278e-01	6.458e-01	5.625e-01	6.279e-01	8.488e-01	3.438e-01	7.093e-01	8.721e-01	1.395e-01	6.279e-01	8.953e-01	3.977e-01	6.977e-01	8.837e-01	3.837e-01
4.722e-01	4.722e-01	5.278e-01	5.000e-01	5.625e-01	5.347e-01	3.056e-01	7.083e-01	5.347e-01	5.556e-01	5.278e-01	5.278e-01	6.047e-01	8.721e-01	1.977e-01	6.279e-01	8.605e-01	4.444e-02	7.209e-01	8.837e-01	2.679e-01	6.047e-01	8.721e-01	3.571e-01
4.444e-01	4.722e-01	5.208e-01	5.000e-01	5.278e-01	5.208e-01	4.306e-01	5.903e-01	5.903e-01	5.556e-01	5.903e-01	5.347e-01	6.395e-01	8.488e-01	5.556e-02	6.744e-01	8.837e-01	4.651e-02	7.558e-01	9.070e-01	1.512e-01	5.349e-01	8.721e-01	1.512e-01
4.861e-01	4.861e-01	5.278e-01	5.139e-01	5.069e-01	5.417e-01	3.194e-01	6.389e-01	5.417e-01	5.417e-01	4.792e-01	5.278e-01	5.233e-01	8.488e-01	1.860e-01	6.860e-01	8.721e-01	4.444e-02	6.628e-01	9.070e-01	4.070e-01	8.023e-01	8.488e-01	3.516e-01
4.167e-01	4.792e-01	5.278e-01	5.000e-01	5.486e-01	5.347e-01	4.722e-01	6.111e-01	5.833e-01	4.306e-01	4.722e-01	6.319e-01	6.279e-01	8.721e-01	4.651e-02	6.628e-01	8.605e-01	1.395e-01	5.349e-01	8.953e-01	1.111e-01	6.279e-01	8.605e-01	4.444e-02
4.583e-01	4.722e-01	5.208e-01	5.000e-01	5.000e-01	5.556e-01	4.444e-01	6.250e-01	5.694e-01	4.167e-01	4.861e-01	5.764e-01	5.698e-01	8.488e-01	1.395e-01	6.512e-01	8.837e-01	5.556e-02	5.814e-01	9.070e-01	4.237e-01	6.271e-01	8.605e-01	4.070e-01
4.028e-01	5.069e-01	5.347e-01	5.000e-01	5.486e-01	5.278e-01	4.722e-01	6.736e-01	5.556e-01	4.861e-01	6.181e-01	5.208e-01	6.279e-01	8.488e-01	1.395e-01	5.581e-01	8.837e-01	4.651e-02	5.930e-01	9.070e-01	4.239e-01	9.884e-01	8.488e-01	1.977e-01
3.611e-01	4.861e-01	5.417e-01	5.139e-01	5.833e-01	5.347e-01	3.611e-01	5.764e-01	5.764e-01	5.278e-01	7.986e-01	5.764e-01	5.814e-01	8.488e-01	4.444e-02	6.047e-01	8.605e-01	1.667e-01	5.306e-01	8.837e-01	1.512e-01	6.163e-01	8.605e-01	1.395e-01
4.167e-01	4.931e-01	5.347e-01	4.444e-01	5.417e-01	5.486e-01	3.056e-01	6.944e-01	5.625e-01	5.139e-01	4.931e-01	5.347e-01	6.047e-01	8.488e-01	1.395e-01	6.628e-01	8.721e-01	4.444e-02	6.395e-01	9.070e-01	1.860e-01	6.512e-01	8.605e-01	1.977e-01
4.861e-01	4.722e-01	5.208e-01	4.167e-01	5.486e-01	5.417e-01	5.139e-01	5.833e-01	5.486e-01	4.861e-01	6.181e-01	5.903e-01	6.047e-01	8.488e-01	4.444e-02	4.767e-01	8.837e-01	4.651e-02	5.814e-01	9.302e-01	3.140e-01	5.581e-01	8.605e-01	1.395e-01
4.444e-01	4.861e-01	5.278e-01	5.556e-01	4.861e-01	5.347e-01	4.722e-01	5.764e-01	5.694e-01	4.444e-01	4.861e-01	5.347e-01	5.698e-01	8.488e-01	1.512e-01	5.698e-01	8.721e-01	1.860e-01	5.581e-01	8.953e-01	1.512e-01	6.047e-01	8.837e-01	2.692e-01
4.444e-01	4.792e-01	5.278e-01	5.000e-01	5.000e-01	5.347e-01	4.722e-01	7.500e-01	5.764e-01	5.417e-01	6.458e-01	5.833e-01	5.581e-01	8.488e-01	4.444e-02	5.814e-01	8.721e-01	1.224e-01	5.116e-01	9.070e-01	3.605e-01	6.744e-01	1.012e+00	3.542e-01
4.306e-01	4.722e-01	5.278e-01	5.278e-01	5.625e-01	5.347e-01	4.306e-01	5.625e-01	6.042e-01	5.139e-01	5.139e-01	5.764e-01	5.581e-01	8.488e-01	1.977e-01	5.814e-01	8.605e-01	1.977e-01	7.093e-01	9.070e-01	3.750e-01	6.047e-01	8.605e-01	4.535e-01
4.444e-01	4.722e-01	5.486e-01	5.000e-01	5.764e-01	5.278e-01	4.444e-01	6.736e-01	5.486e-01	4.583e-01	4.861e-01	5.278e-01	5.698e-01	8.488e-01	5.556e-02	5.581e-01	8.721e-01	4.651e-02	6.512e-01	8.953e-01	3.077e-01	6.512e-01	8.721e-01	1.395e-01
5.000e-01	4.722e-01	5.278e-01	4.861e-01	5.417e-01	5.278e-01	4.306e-01	6.458e-01	5.486e-01	5.278e-01	5.139e-01	5.694e-01	6.512e-01	8.488e-01	1.395e-01	6.395e-01	8.837e-01	1.395e-01	6.744e-01	8.605e-01	2.093e-01	6.279e-01	8.721e-01	4.444e-02
4.167e-01	4.722e-01	5.208e-01	4.861e-01	5.556e-01	5.347e-01	3.750e-01	5.903e-01	6.250e-01	5.694e-01	4.792e-01	5.764e-01	5.465e-01	8.721e-01	1.395e-01	6.395e-01	8.837e-01	4.651e-02	5.581e-01	9.186e-01	2.093e-01	5.581e-01	8.721e-01	2.917e-01
4.444e-01	5.000e-01	5.208e-01	4.722e-01	7.431e-01	5.347e-01	4.444e-01	6.736e-01	5.694e-01	6.389e-01	5.972e-01	5.694e-01	6.279e-01	8.488e-01	1.500e-01	6.279e-01	8.837e-01	1.395e-01	5.660e-01	8.953e-01	2.558e-01	5.698e-01	8.488e-01	2.407e-01
4.028e-01	4.931e-01	5.208e-01	3.750e-01	5.278e-01	5.278e-01	4.444e-01	5.625e-01	5.625e-01	5.139e-01	4.722e-01	5.278e-01	6.395e-01	8.488e-01	1.395e-01	5.698e-01	8.605e-01	9.302e-02	6.977e-01	9.302e-01	1.860e-01	6.860e-01	8.721e-01	3.333e-01
4.167e-01	4.722e-01	5.278e-01	4.722e-01	4.931e-01	5.347e-01	3.472e-01	6.806e-01	5.903e-01	4.861e-01	4.792e-01	5.347e-01	5.116e-01	8.488e-01	1.395e-01	6.279e-01	8.721e-01	1.064e-01	5.930e-01	8.953e-01	1.512e-01	6.047e-01	8.605e-01	4.535e-01
4.444e-01	4.722e-01	5.347e-01	5.556e-01	5.694e-01	5.347e-01	3.889e-01	8.056e-01	5.556e-01	5.278e-01	6.806e-01	6.319e-01	5.698e-01	8.721e-01	1.512e-01	6.860e-01	8.721e-01	4.651e-02	5.581e-01	9.070e-01	1.860e-01	6.744e-01	8.837e-01	1.111e-01
4.583e-01	5.000e-01	5.417e-01	5.000e-01	5.417e-01	5.278e-01	4.028e-01	6.042e-01	5.972e-01	3.889e-01	4.931e-01	5.278e-01	6.279e-01	8.488e-01	1.395e-01	6.279e-01	8.721e-01	1.512e-01	6.860e-01	8.953e-01	4.100e-01	6.860e-01	8.488e-01	3.953e-01
3.889e-01	4.722e-01	5.278e-01	5.000e-01	5.069e-01	5.347e-01	4.444e-01	7.153e-01	5.625e-01	5.694e-01	6.250e-01	6.389e-01	6.395e-01	8.488e-01	1.395e-01	6.047e-01	8.721e-01	2.209e-01	5.000e-01	9.070e-01	9.302e-02	6.395e-01	8.721e-01	1.395e-01
4.861e-01	4.722e-01	5.417e-01	5.139e-01	5.764e-01	5.347e-01	4.028e-01	5.764e-01	5.903e-01	5.000e-01	7.639e-01	5.556e-01	5.930e-01	8.488e-01	4.444e-02	6.744e-01	8.721e-01	4.444e-02	6.395e-01	8.837e-01	1.000e-01	6.047e-01	8.488e-01	3.721e-01
4.583e-01	4.722e-01	5.347e-01	5.000e-01	5.486e-01	5.347e-01	4.167e-01	5.556e-01	5.764e-01	5.417e-01	5.069e-01	5.417e-01	5.814e-01	8.488e-01	3.438e-01	6.512e-01	8.721e-01	4.651e-02	6.047e-01	9.070e-01	3.953e-01	5.930e-01	8.721e-01	3.438e-01
4.306e-01	4.861e-01	5.278e-01	4.861e-01	5.833e-01	5.208e-01	3.750e-01	5.833e-01	6.389e-01	5.417e-01	7.083e-01	5.556e-01	6.047e-01	8.488e-01	1.395e-01	5.814e-01	8.837e-01	4.444e-02	6.163e-01	8.837e-01	2.326e-01	5.581e-01	1.012e+00	2.093e-01
4.028e-01	4.792e-01	5.278e-01	5.000e-01	5.625e-01	5.486e-01	4.861e-01	6.042e-01	5.833e-01	4.583e-01	6.181e-01	6.458e-01	5.698e-01	8.488e-01	1.395e-01	6.047e-01	8.837e-01	1.047e-01	7.558e-01	8.837e-01	2.093e-01	6.860e-01	8.605e-01	3.977e-01
4.583e-01	4.861e-01	5.347e-01	4.444e-01	5.486e-01	5.417e-01	4.028e-01	6.111e-01	5.833e-01	6.528e-01	5.833e-01	5.486e-01	6.163e-01	8.488e-01	1.395e-01	5.930e-01	8.721e-01	5.556e-02	5.349e-01	8.837e-01	3.306e-01	6.977e-01	8.837e-01	4.535e-01
4.861e-01	4.722e-01	5.278e-01	5.278e-01	5.556e-01	5.556e-01	3.472e-01	6.181e-01	5.694e-01	5.139e-01	4.931e-01	5.694e-01	6.279e-01	8.488e-01	1.977e-01	6.628e-01	8.605e-01	4.651e-02	5.000e-01	8.837e-01	3.824e-01	5.581e-01	8.837e-01	3.854e-01
4.167e-01	4.722e-01	5.278e-01	5.000e-01	5.625e-01	5.347e-01	3.889e-01	6.736e-01	6.250e-01	5.417e-01	5.069e-01	5.347e-01	6.395e-01	8.605e-01	1.395e-01	6.279e-01	8.721e-01	4.444e-02	6.705e-01	8.953e-01	4.091e-01	6.279e-01	8.605e-01	1.977e-01
4.722e-01	4.861e-01	5.278e-01	3.889e-01	5.278e-01	5.347e-01	3.750e-01	7.569e-01	5.625e-01	5.278e-01	5.972e-01	5.625e-01	5.581e-01	8.488e-01	1.512e-01	5.465e-01	8.953e-01	9.302e-02	6.395e-01	8.953e-01	3.023e-01	5.465e-01	8.837e-01	3.889e-01
4.583e-01	4.861e-01	5.278e-01	4.444e-01	5.347e-01	5.208e-01	3.333e-01	5.625e-01	5.347e-01	5.694e-01	5.556e-01	5.764e-01	5.581e-01	8.721e-01	1.395e-01	6.047e-01	8.837e-01	1.047e-01	4.884e-01	9.070e-01	3.878e-01	5.581e-01	8.721e-01	2.931e-01
4.444e-01	5.069e-01	5.208e-01	4.028e-01	5.139e-01	5.556e-01	3.611e-01	5.694e-01	5.556e-01	5.556e-01	6.736e-01	5.278e-01	5.930e-01	8.488e-01	1.395e-01	6.395e-01	8.605e-01	5.556e-02	5.116e-01	8.837e-01	3.958e-01	6.744e-01	8.721e-01	3.545e-01
4.306e-01	4.722e-01	5.208e-01	4.722e-01	5.764e-01	5.486e-01	5.139e-01	6.597e-01	5.764e-01	4.722e-01	4.861e-01	5.486e-01	6.545e-01	8.488e-01	1.512e-01	6.279e-01	8.837e-01	4.651e-02	5.349e-01	9.186e-01	1.744e-01	6.977e-01	8.488e-01	4.444e-02
4.444e-01	5.000e-01	5.347e-01	5.000e-01	5.417e-01	5.208e-01	3.750e-01	5.972e-01	5.694e-01	5.278e-01	4.861e-01	5.486e-01	6.279e-01	8.488e-01	4.444e-02	6.512e-01	8.837e-01	1.512e-01	5.349e-01	9.070e-01	3.953e-01	6.279e-01	8.837e-01	9.574e-02
4.306e-01	4.722e-01	5.347e-01	5.417e-01	5.556e-01	5.347e-01	4.306e-01	7.222e-01	5.347e-01	5.278e-01	4.861e-01	5.694e-01	5.814e-01	8.721e-01	1.395e-01	6.512e-01	8.605e-01	1.395e-01	6.500e-01	9.070e-01	2.558e-01	6.047e-01	8.721e-01	3.837e-01
4.583e-01	5.069e-01	5.486e-01	5.139e-01	5.764e-01	5.347e-01	4.722e-01	5.694e-01	5.694e-01	5.417e-01	6.111e-01	5.556e-01	5.698e-01	8.605e-01	1.512e-01	6.860e-01	8.721e-01	4.444e-02	6.395e-01	9.070e-01	3.818e-01	6.163e-01	8.721e-01	2.130e-01
4.028e-01	4.861e-01	5.278e-01	5.139e-01	5.139e-01	5.278e-01	4.167e-01	5.694e-01	5.903e-01	5.000e-01	4.792e-01	5.278e-01	5.581e-01	8.488e-01	2.411e-01	5.930e-01	8.721e-01	9.574e-02	5.581e-01	8.837e-01	1.222e-01	6.279e-01	8.605e-01	2.800e-01
4.583e-01	4.722e-01	5.556e-01	5.139e-01	5.278e-01	5.347e-01	3.889e-01	7.222e-01	5.764e-01	4.028e-01	7.639e-01	5.556e-01	6.279e-01	8.488e-01	1.395e-01	6.047e-01	8.721e-01	4.651e-02	5.930e-01	8.953e-01	3.879e-01	6.512e-01	8.721e-01	2.019e-01
4.167e-01	4.722e-01	5.347e-01	4.722e-01	5.417e-01	5.486e-01	4.028e-01	5.972e-01	5.694e-01	5.278e-01	4.792e-01	5.903e-01	6.279e-01	8.488e-01	1.395e-01	6.744e-01	8.837e-01	1.047e-01	6.047e-01	9.186e-01	1.395e-01	5.814e-01	8.721e-01	3.145e-01
